"PROBEID","GENENAME","SYMBOL"
"1370737_at","caspase 9","Casp9"
"1370738_a_at","triadin","Trdn"
"1370739_x_at","triadin","Trdn"
"1370746_at","protein kinase cAMP-activated catalytic subunit beta","Prkacb"
"1370747_at","fibroblast growth factor 9","Fgf9"
"1370750_a_at","interleukin 1 receptor type 1","Il1r1"
"1370752_a_at","tumor protein p53","Tp53"
"1370760_a_at","glutamate decarboxylase 1","Gad1"
"1370764_a_at","thyroglobulin","Tg"
"1370780_at","RAB31, member RAS oncogene family","Rab31"
"1370787_at","Bcl2-like 11","Bcl2l11"
"1370789_a_at","prolactin receptor","Prlr"
"1370790_at","interferon gamma","Ifng"
"1370798_a_at","neuroglobin","Ngb"
"1370802_at","integrin subunit beta 5","Itgb5"
"1370803_at","ZW10 interacting kinetochore protein","Zwint"
"1370809_at","tubulin, gamma 1","Tubg1"
"1370810_at","cyclin D2","Ccnd2"
"1370812_at","Bcl2-like 1","Bcl2l1"
"1370813_at","glutathione S-transferase, mu 5","Gstm5"
"1370815_at","neurofilament heavy chain","Nefh"
"1370816_at","nuclear receptor subfamily 1, group D, member 1","Nr1d1"
"1370817_at","SEC11 homolog C, signal peptidase complex subunit","Sec11c"
"1370823_at","BMP and activin membrane-bound inhibitor","Bambi"
"1370824_at","solute carrier family 38, member 3","Slc38a3"
"1370830_at","epidermal growth factor receptor","Egfr"
"1370831_at","monoglyceride lipase","Mgll"
"1370832_at","C-C motif chemokine ligand 4","Ccl4"
"1370836_at","serpin family A member 4","Serpina4"
"1370838_s_at","spectrin, alpha, non-erythrocytic 1","Sptan1"
"1370840_at","syntaxin binding protein 1","Stxbp1"
"1370848_at","solute carrier family 2 member 1","Slc2a1"
"1370850_at","sodium voltage-gated channel beta subunit 3","Scn3b"
"1370854_at","nexilin (F actin binding protein)","Nexn"
"1370856_at","actin, alpha, cardiac muscle 1","Actc1"
"1370857_at","actin alpha 2, smooth muscle","Acta2"
"1370859_at","protein disulfide isomerase family A, member 6","Pdia6"
"1370862_at","apolipoprotein E","Apoe"
"1370864_at","collagen type I alpha 1 chain","Col1a1"
"1370870_at","malic enzyme 1","Me1"
"1370880_at","ribonuclease/angiogenin inhibitor 1","Rnh1"
"1370881_at","thiosulfate sulfurtransferase","Tst"
"1370884_at","sepiapterin reductase","Spr"
"1370885_at","cathepsin Z","Ctsz"
"1370891_at","Cd48 molecule","Cd48"
"1370892_at","complement C4A","C4a"
"1370892_at","complement C4B","C4b"
"1370893_at","acetyl-CoA carboxylase alpha","Acaca"
"1370894_at","claudin 7","Cldn7"
"1370895_at","collagen type V alpha 2 chain","Col5a2"
"1370896_a_at","myosin heavy chain 11","Myh11"
"1370900_at","myosin heavy chain 8","Myh8"
"1370900_at","myosin heavy chain 1","Myh1"
"1370900_at","myosin heavy chain 4","Myh4"
"1370902_at","aldo-keto reductase family 1, member B8","Akr1b8"
"1370907_at","ST6 beta-galactoside alpha-2,6-sialyltransferase 1","St6gal1"
"1370908_at","histone deacetylase 2","Hdac2"
"1370909_at","nucleoporin 62","Nup62"
"1370910_at","replication factor C subunit 2","Rfc2"
"1370911_at","A-kinase anchoring protein 8","Akap8"
"1370912_at","heat shock protein family A (Hsp70) member 1A","Hspa1a"
"1370913_at","radical S-adenosyl methionine domain containing 2","Rsad2"
"1370921_at","CDC-like kinase 2","Clk2"
"1370924_at","T-cell receptor beta chain","Tcrb"
"1370927_at","collagen type XII alpha 1 chain","Col12a1"
"1370929_at","LDL receptor related protein associated protein 1","Lrpap1"
"1370934_at","nucleoporin 153","Nup153"
"1370936_at","dimethylglycine dehydrogenase","Dmgdh"
"1370943_at","sulfotransferase family 1C member 2A","Sult1c2a"
"1370952_at","glutathione S-transferase mu 2","Gstm2"
"1370952_at","glutathione S-transferase, mu 7","Gstm7"
"1370955_at","ADAM metallopeptidase domain 10","Adam10"
"1370956_at","decorin","Dcn"
"1370959_at","collagen type III alpha 1 chain","Col3a1"
"1370961_at","enoyl-CoA delta isomerase 1","Eci1"
"1370964_at","argininosuccinate synthase 1","Ass1"
"1370968_at","nuclear factor kappa B subunit 1","Nfkb1"
"1370969_at","homeo box A5","Hoxa5"
"1370971_at","myosin heavy chain 8","Myh8"
"1370971_at","myosin heavy chain 1","Myh1"
"1370971_at","myosin heavy chain 4","Myh4"
"1370973_at","sodium voltage-gated channel alpha subunit 7","Scn7a"
"1370975_at","lysine demethylase 3A","Kdm3a"
"1370976_at","G3BP stress granule assembly factor 1","G3bp1"
"1370982_at","glycogen phosphorylase, muscle associated","Pygm"
"1370987_at","sialophorin","Spn"
"1370989_at","ret proto-oncogene","Ret"
"1370992_a_at","fibrinogen alpha chain","Fga"
"1370993_at","laminin subunit gamma 1","Lamc1"
"1371005_at","ATP binding cassette subfamily C member 1","Abcc1"
"1371012_at","2-hydroxyacyl-CoA lyase 1","Hacl1"
"1371014_at","phospholipase C beta 1","Plcb1"
"1371015_at","MX dynamin like GTPase 1","Mx1"
"1371019_at","tribbles pseudokinase 1","Trib1"
"1371027_at","Cbl proto-oncogene B","Cblb"
"1371030_at","secreted phosphoprotein 2","Spp2"
"1371034_at","one cut homeobox 1","Onecut1"
"1371036_at","neuronal cell adhesion molecule","Nrcam"
"1371037_at","protein S","Pros1"
"1371040_at","solute carrier family 1 member 5","Slc1a5"
"1371053_at","myosin heavy chain 8","Myh8"
"1371057_at","gamma-aminobutyric acid type A receptor subunit alpha 5","Gabra5"
"1371064_at","pericentriolar material 1","Pcm1"
"1371073_at","beta-1,4-galactosyltransferase 1","B4galt1"
"1371074_a_at","minichromosome maintenance complex component 6","Mcm6"
"1371076_at","cytochrome P450, family 2, subfamily b, polypeptide 1","Cyp2b1"
"1371076_at","cytochrome P450, family 2, subfamily b, polypeptide 2","Cyp2b2"
"1371086_at","protein tyrosine phosphatase, receptor type, F","Ptprf"
"1371089_at","glutathione S-transferase alpha 3","Gsta3"
"1371104_at","sterol regulatory element binding transcription factor 1","Srebf1"
"1371108_a_at","ATPase Na+/K+ transporting subunit alpha 1","Atp1a1"
"1371109_at","complement C8 beta chain","C8b"
"1371112_at","ret proto-oncogene","Ret"
"1371128_at","interleukin 4","Il4"
"1371130_at","solute carrier family 1 member 3","Slc1a3"
"1371133_a_at","protein kinase cAMP-dependent type II regulatory subunit beta","Prkar2b"
"1371134_at","ATPase secretory pathway Ca2+ transporting 1","Atp2c1"
"1371137_at","acyl-CoA oxidase 2","Acox2"
"1371138_at","triadin","Trdn"
"1371141_at","solute carrier family 25, member 27","Slc25a27"
"1371147_at","serpin family A member 3M","Serpina3m"
"1371148_s_at","internexin neuronal intermediate filament protein, alpha","Ina"
"1371150_at","cyclin D1","Ccnd1"
"1371151_at","carboxypeptidase A3","Cpa3"
"1371152_a_at","2'-5' oligoadenylate synthetase 1A","Oas1a"
"1371160_at","vesicle-associated membrane protein 2","Vamp2"
"1371161_at","protein phosphatase 1, regulatory subunit 3B","Ppp1r3b"
"1371166_at","nitric oxide synthase 3","Nos3"
"1371170_a_at","interleukin 1 alpha","Il1a"
"1371173_a_at","calpastatin","Cast"
"1371177_a_at","calcium/calmodulin dependent serine protein kinase","Cask"
"1371179_a_at","fibroblast growth factor receptor 2","Fgfr2"
"1371200_at","potassium voltage-gated channel subfamily C member 2","Kcnc2"
"1371217_at","apurinic/apyrimidinic endodeoxyribonuclease 1","Apex1"
"1371220_at","sequestosome 1","Sqstm1"
"1371221_at","sequestosome 1","Sqstm1"
"1371229_at","serine peptidase inhibitor, Kazal type 1","Spink1"
"1371230_x_at","serine peptidase inhibitor, Kazal type 1","Spink1"
"1371234_at","fibrinogen beta chain","Fgb"
"1371237_a_at","transthyretin","Ttr"
"1371247_at","troponin T3, fast skeletal type","Tnnt3"
"1371248_at","small proline-rich protein 1A","Sprr1a"
"1371249_at","X-box binding protein 1","Xbp1"
"1371250_at","platelet factor 4","Pf4"
"1371252_at","suppressor of cytokine signaling 1","Socs1"
"1371255_at","HRas proto-oncogene, GTPase","Hras"
"1371258_at","fibrinogen alpha chain","Fga"
"1371262_at","immunoglobulin heavy chain, alpha","Igha"
"1371266_at","afamin","Afm"
"1371276_at","defensin NP-4 precursor","Np4"
"1371286_at","plasminogen activator, urokinase receptor","Plaur"
"1371291_at","cAMP responsive element binding protein 1","Creb1"
"1371310_s_at","serpin family H member 1","Serpinh1"
"1371322_at","laminin subunit gamma 1","Lamc1"
"1371326_at","casein kinase 2 alpha 2","Csnk2a2"
"1371339_at","troponin I1, slow skeletal type","Tnni1"
"1371349_at","collagen type VI alpha 1 chain","Col6a1"
"1371350_at","methionine adenosyltransferase 2A","Mat2a"
"1371353_at","sequestosome 1","Sqstm1"
"1371357_at","insulin-like growth factor binding protein 7","Igfbp7"
"1371358_at","trans-2,3-enoyl-CoA reductase","Tecr"
"1371360_at","N-myc downstream regulated 1","Ndrg1"
"1371363_at","glycerol-3-phosphate dehydrogenase 1","Gpd1"
"1371369_at","collagen type VI alpha 2 chain","Col6a2"
"1371377_at","ribosomal protein S19","Rps19"
"1371379_at","mitochondrial pyruvate carrier 2","Mpc2"
"1371382_at","filamin A","Flna"
"1371383_at","Dr1 associated protein 1","Drap1"
"1371385_at","proteasome assembly chaperone 1","Psmg1"
"1371390_at","tubulin, beta 4B class IVb","Tubb4b"
"1371393_at","calsyntenin 1","Clstn1"
"1371397_at","nitric oxide synthase interacting protein","Nosip"
"1371400_at","thyroid hormone responsive","Thrsp"
"1371404_at","eukaryotic translation initiation factor 4B","Eif4b"
"1371412_a_at","neuronal regeneration related protein","Nrep"
"1371418_at","chaperonin containing TCP1 subunit 2","Cct2"
"1371421_at","3-oxoacid CoA transferase 1","Oxct1"
"1371429_at","dystroglycan 1","Dag1"
"1371430_at","dystroglycan 1","Dag1"
"1371432_at","vesicle amine transport 1","Vat1"
"1371442_at","hypoxia up-regulated 1","Hyou1"
"1371446_at","MAPK activated protein kinase 2","Mapkapk2"
"1371447_at","placenta associated 8","Plac8"
"1371449_at","peptidylprolyl cis/trans isomerase, NIMA-interacting 1","Pin1"
"1371455_at","phosphomannomutase 1","Pmm1"
"1371456_at","ATP binding cassette subfamily F member 3","Abcf3"
"1371465_at","cortactin","Cttn"
"1371469_at","calcineurin-like EF-hand protein 1","Chp1"
"1371470_at","alcohol dehydrogenase 5 (class III), chi polypeptide","Adh5"
"1371481_at","receptor accessory protein 5","Reep5"
"1371483_at","nicotinamide nucleotide transhydrogenase","Nnt"
"1371491_at","notch receptor 1","Notch1"
"1371498_at","aminoacyl tRNA synthetase complex-interacting multifunctional protein 2","Aimp2"
"1371516_at","exportin 7","Xpo7"
"1371517_at","growth factor receptor bound protein 10","Grb10"
"1371519_at","electron transfer flavoprotein dehydrogenase","Etfdh"
"1371527_at","epithelial membrane protein 1","Emp1"
"1371529_at","receptor interacting serine/threonine kinase 1","Ripk1"
"1371530_at","keratin 8","Krt8"
"1371535_at","phosphomannomutase 2","Pmm2"
"1371539_at","NHP2 ribonucleoprotein","Nhp2"
"1371541_at","myosin light chain kinase","Mylk"
"1371543_at","myotubularin related protein 2","Mtmr2"
"1371554_at","titin-cap","Tcap"
"1371558_at","nischarin","Nisch"
"1371562_at","epsin 2","Epn2"
"1371567_at","aldehyde dehydrogenase 7 family, member A1","Aldh7a1"
"1371571_at","amyloid beta precursor protein","App"
"1371572_at","amyloid beta precursor protein","App"
"1371575_at","moesin","Msn"
"1371578_at","protein kinase cAMP-activated catalytic subunit alpha","Prkaca"
"1371581_at","serine and arginine rich splicing factor 1","Srsf1"
"1371592_at","C-terminal Src kinase","Csk"
"1371594_at","fission, mitochondrial 1","Fis1"
"1371596_at","RNA binding protein with serine rich domain 1","Rnps1"
"1371600_at","cAMP-dependent protein kinase inhibitor gamma","Pkig"
"1371606_at","WD and tetratricopeptide repeats 1","Wdtc1"
"1371618_s_at","tubulin, beta 3 class III","Tubb3"
"1371641_at","chaperonin containing TCP1 subunit 7","Cct7"
"1371643_at","cyclin D1","Ccnd1"
"1371647_at","transmembrane 9 superfamily member 3","Tm9sf3"
"1371659_at","ras homolog family member C","Rhoc"
"1371664_at","paxillin","Pxn"
"1371667_at","FAM20B, glycosaminoglycan xylosylkinase","Fam20b"
"1371670_at","exosome component 4","Exosc4"
"1371673_at","vacuolar protein sorting 72 homolog","Vps72"
"1371682_at","microtubule-associated protein 1 light chain 3 alpha","Map1lc3a"
"1371690_at","ADP-ribosylation factor like GTPase 1","Arl1"
"1371694_at","dihydropyrimidinase-like 2","Dpysl2"
"1371697_at","patatin-like phospholipase domain containing 2","Pnpla2"
"1371700_at","microfibril associated protein 4","Mfap4"
"1371703_at","AHNAK nucleoprotein","Ahnak"
"1371711_at","receptor accessory protein 5","Reep5"
"1371713_at","ABL proto-oncogene 1, non-receptor tyrosine kinase","Abl1"
"1371727_at","galactosidase, beta 1","Glb1"
"1371728_at","ubiquitin protein ligase E3B","Ube3b"
"1371731_at","mesoderm specific transcript","Mest"
"1371738_at","anoctamin 10","Ano10"
"1371746_at","sarcalumenin","Srl"
"1371774_at","spermidine/spermine N1-acetyl transferase 1","Sat1"
"1371775_at","acyl-CoA dehydrogenase, short/branched chain","Acadsb"
"1371779_at","sorting nexin 6","Snx6"
"1371780_at","KDEL endoplasmic reticulum protein retention receptor 2","Kdelr2"
"1371781_at","signal transducer and activator of transcription 3","Stat3"
"1371785_at","TNF receptor superfamily member 12A","Tnfrsf12a"
"1371799_at","alpha glucosidase","Gaa"
"1371801_at","myozenin 2","Myoz2"
"1371803_at","ganglioside GM2 activator","Gm2a"
"1371808_at","bleomycin hydrolase","Blmh"
"1371814_at","ubiquitin-conjugating enzyme E2G 2","Ube2g2"
"1371815_at","microfibril associated protein 2","Mfap2"
"1371822_at","RNA polymerase III subunit D","Polr3d"
"1371835_at","protein kinase cAMP-activated catalytic subunit beta","Prkacb"
"1371845_at","POP4 homolog, ribonuclease P/MRP subunit","Pop4"
"1371849_at","5'-nucleotidase domain containing 2","Nt5dc2"
"1371850_at","3'-phosphoadenosine 5'-phosphosulfate synthase 1","Papss1"
"1371851_at","proteasome 26S subunit, non-ATPase 6","Psmd6"
"1371862_at","ribonucleotide reductase catalytic subunit M1","Rrm1"
"1371886_at","carnitine O-acetyltransferase","Crat"
"1371924_at","olfactomedin-like 3","Olfml3"
"1371927_at","ankyrin repeat domain 23","Ankrd23"
"1371928_at","cell division cycle associated 8","Cdca8"
"1371947_at","necdin, MAGE family member","Ndn"
"1371951_at","four and a half LIM domains 2","Fhl2"
"1371993_at","copine 3","Cpne3"
"1371994_at","Rho GTPase activating protein 1","Arhgap1"
"1371995_at","kelch-like family member 21","Klhl21"
"1372000_at","neuroepithelial cell transforming 1","Net1"
"1372002_at","gap junction protein, alpha 1","Gja1"
"1372004_at","heme binding protein 1","Hebp1"
"1372010_at","MAPK activated protein kinase 5","Mapkapk5"
"1372016_at","growth arrest and DNA-damage-inducible, beta","Gadd45b"
"1372032_at","NRAS proto-oncogene, GTPase","Nras"
"1372034_at","poly (ADP-ribose) polymerase family, member 14","Parp14"
"1372041_at","discs large MAGUK scaffold protein 3","Dlg3"
"1372042_at","CKLF-like MARVEL transmembrane domain containing 3","Cmtm3"
"1372064_at","C-X-C motif chemokine ligand 16","Cxcl16"
"1372070_at","IFI30, lysosomal thiol reductase","Ifi30"
"1372071_at","CD320 molecule","Cd320"
"1372079_at","muscleblind-like splicing regulator 1","Mbnl1"
"1372092_at","trafficking kinesin protein 2","Trak2"
"1372096_at","oxidative stress responsive kinase 1","Oxsr1"
"1372100_at","transmembrane protein 50A","Tmem50a"
"1372109_at","PNKD metallo-beta-lactamase domain containing","Pnkd"
"1372111_at","caveolin 1","Cav1"
"1372116_at","mitochondrial ribosomal protein S2","Mrps2"
"1372123_at","succinate dehydrogenase complex iron sulfur subunit B","Sdhb"
"1372124_at","eukaryotic translation initiation factor 4B","Eif4b"
"1372125_at","glutathione peroxidase 7","Gpx7"
"1372129_at","TBC1 domain family member 9B","Tbc1d9b"
"1372131_at","ubiquilin 2","Ubqln2"
"1372132_at","carnosine dipeptidase 2","Cndp2"
"1372135_at","twinfilin actin-binding protein 2","Twf2"
"1372151_at","transcription elongation regulator 1","Tcerg1"
"1372156_at","transmembrane protein 97","Tmem97"
"1372160_at","BLCAP, apoptosis inducing factor","Blcap"
"1372162_at","acyl-CoA synthetase short-chain family member 1","Acss1"
"1372168_s_at","insulin-like growth factor binding protein 6","Igfbp6"
"1372181_at","replication protein A1","Rpa1"
"1372182_at","phosphofructokinase, platelet","Pfkp"
"1372186_a_at","DNA topoisomerase II alpha","Top2a"
"1372195_at","troponin C2, fast skeletal type","Tnnc2"
"1372211_at","MAF bZIP transcription factor K","Mafk"
"1372218_at","WD repeat domain 12","Wdr12"
"1372219_at","tropomyosin 2","Tpm2"
"1372236_at","nucleotide-binding oligomerization domain containing 1","Nod1"
"1372246_at","osteoclast stimulating factor 1","Ostf1"
"1372248_at","sestrin 1","Sesn1"
"1372249_at","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta","Ywhaz"
"1372254_at","serpin family G member 1","Serping1"
"1372256_at","cysteine rich protein 1","Crip1"
"1372264_at","phosphoenolpyruvate carboxykinase 1","Pck1"
"1372277_at","aldehyde dehydrogenase 4 family, member A1","Aldh4a1"
"1372284_at","trafficking protein particle complex subunit 3","Trappc3"
"1372286_at","tetraspanin 6","Tspan6"
"1372291_at","OXA1L, mitochondrial inner membrane protein","Oxa1l"
"1372294_at","peroxidasin","Pxdn"
"1372297_at","glutathione S-transferase alpha 4","Gsta4"
"1372301_at","AE binding protein 1","Aebp1"
"1372308_at","ST3 beta-galactoside alpha-2,3-sialyltransferase 1","St3gal1"
"1372311_at","glucosamine-6-phosphate deaminase 1","Gnpda1"
"1372322_at","ecdysoneless cell cycle regulator","Ecd"
"1372325_at","elastin microfibril interfacer 1","Emilin1"
"1372326_at","solute carrier family 2 member 3","Slc2a3"
"1372332_at","myocyte enhancer factor 2C","Mef2c"
"1372343_at","exosome component 8","Exosc8"
"1372350_at","Suv3 like RNA helicase","Supv3l1"
"1372363_at","RNA polymerase II, I and III subunit H","Polr2h"
"1372369_at","transmembrane protein 109","Tmem109"
"1372372_at","carboxymethylenebutenolidase homolog","Cmbl"
"1372389_at","immediate early response 2","Ier2"
"1372404_at","Rac family small GTPase 2","Rac2"
"1372406_at","minichromosome maintenance complex component 3","Mcm3"
"1372417_at","SERTA domain containing 1","Sertad1"
"1372429_at","ACD, shelterin complex subunit and telomerase recruitment factor","Acd"
"1372431_at","mitochondrial ribosomal protein L12","Mrpl12"
"1372436_at","TPD52 like 2","Tpd52l2"
"1372437_at","S-phase kinase-associated protein 1","Skp1"
"1372438_at","nitrilase family, member 2","Nit2"
"1372439_at","collagen type IV alpha 1 chain","Col4a1"
"1372440_at","serpin family E member 2","Serpine2"
"1372455_at","tetraspanin 12","Tspan12"
"1372459_at","vasodilator-stimulated phosphoprotein","Vasp"
"1372462_at","acetyl-CoA acetyltransferase 2","Acat2"
"1372466_at","transforming growth factor, beta receptor 2","Tgfbr2"
"1372473_at","tight junction protein 1","Tjp1"
"1372474_at","synaptophysin-like 1","Sypl1"
"1372475_at","PTEN induced kinase 1","Pink1"
"1372478_at","CKLF-like MARVEL transmembrane domain containing 7","Cmtm7"
"1372485_at","pterin-4 alpha-carbinolamine dehydratase 1","Pcbd1"
"1372488_at","enolase-phosphatase 1","Enoph1"
"1372494_a_at","high mobility group 20 B","Hmg20b"
"1372498_at","cytokine induced apoptosis inhibitor 1","Ciapin1"
"1372506_at","proteasome activator subunit 3","Psme3"
"1372507_at","T-cell leukemia translocation altered","Tcta"
"1372510_at","sulfiredoxin 1","Srxn1"
"1372513_at","Rac family small GTPase 1","Rac1"
"1372516_at","kinesin family member 22","Kif22"
"1372519_at","nucleoporin 93","Nup93"
"1372520_at","MCL1 apoptosis regulator, BCL2 family member","Mcl1"
"1372523_at","glutamate-cysteine ligase, catalytic subunit","Gclc"
"1372524_at","lipin 1","Lpin1"
"1372525_at","FKBP prolyl isomerase 14","Fkbp14"
"1372527_at","reticulon 2","Rtn2"
"1372533_at","ER degradation enhancing alpha-mannosidase like protein 1","Edem1"
"1372534_at","RNA polymerase II, I and III subunit K","Polr2k"
"1372546_at","MAPK activated protein kinase 3","Mapkapk3"
"1372550_at","karyopherin subunit beta 1","Kpnb1"
"1372552_at","acyl-CoA binding domain containing 3","Acbd3"
"1372579_at","endoglin","Eng"
"1372593_at","zinc finger protein 110","Zfp110"
"1372601_at","activating transcription factor 5","Atf5"
"1372603_at","protein kinase C and casein kinase substrate in neurons 3","Pacsin3"
"1372610_at","prolyl 4-hydroxylase subunit alpha 2","P4ha2"
"1372635_at","G3BP stress granule assembly factor 1","G3bp1"
"1372639_at","tripartite motif-containing 54","Trim54"
"1372643_at","erythrocyte membrane protein band 4.1-like 2","Epb41l2"
"1372647_at","proline and arginine rich end leucine rich repeat protein","Prelp"
"1372652_at","forkhead box O4","Foxo4"
"1372665_at","phosphoserine aminotransferase 1","Psat1"
"1372680_at","membrane bound O-acyltransferase domain containing 7","Mboat7"
"1372685_at","cyclin-dependent kinase inhibitor 3","Cdkn3"
"1372688_at","exosome component 7","Exosc7"
"1372701_at","heat shock protein 90 alpha family class A member 1","Hsp90aa1"
"1372705_at","calcium homeostasis endoplasmic reticulum protein","Cherp"
"1372717_at","activating transcription factor 6","Atf6"
"1372729_at","protein C receptor","Procr"
"1372736_at","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase","Agl"
"1372741_at","saccharopine dehydrogenase (putative)","Sccpdh"
"1372750_at","follistatin","Fst"
"1372752_at","tetraspanin 4","Tspan4"
"1372757_at","signal transducer and activator of transcription 1","Stat1"
"1372765_a_at","enoyl-CoA delta isomerase 2","Eci2"
"1372765_a_at","enoyl-Coenzyme A delta isomerase 3","Eci3"
"1372773_at","neural proliferation, differentiation and control, 1","Npdc1"
"1372774_at","ectonucleoside triphosphate diphosphohydrolase 5","Entpd5"
"1372778_at","solute carrier family 39 member 1","Slc39a1"
"1372779_at","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2","B3gnt2"
"1372784_at","leucine rich repeat containing 41","Lrrc41"
"1372795_at","thioredoxin-like 4B","Txnl4b"
"1372808_at","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase","Mthfd2"
"1372818_at","collectin sub-family member 12","Colec12"
"1372819_at","component of oligomeric golgi complex 4","Cog4"
"1372833_at","WD repeat domain 7","Wdr7"
"1372852_at","protein tyrosine phosphatase, receptor type, C-associated protein","Ptprcap"
"1372853_at","RELA proto-oncogene, NF-kB subunit","Rela"
"1372854_at","tetratricopeptide repeat domain 17","Ttc17"
"1372860_at","phospholysine phosphohistidine inorganic pyrophosphate phosphatase","Lhpp"
"1372863_at","MYC binding protein 2","Mycbp2"
"1372867_at","RNA (guanine-7-) methyltransferase","Rnmt"
"1372877_at","procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3","Plod3"
"1372897_at","procollagen lysine, 2-oxoglutarate 5-dioxygenase 2","Plod2"
"1372903_at","kinesin family member 18B","Kif18b"
"1372922_at","Ly6/Plaur domain containing 8","Lypd8"
"1372925_at","sirtuin 3","Sirt3"
"1372931_at","PRA1 domain family, member 2","Praf2"
"1372935_at","transmembrane protein 119","Tmem119"
"1372942_at","exosome component 5","Exosc5"
"1372973_at","lanosterol synthase","Lss"
"1372979_at","synaptopodin 2-like","Synpo2l"
"1372987_at","tyrosine kinase 2","Tyk2"
"1373001_at","coiled-coil-helix-coiled-coil-helix domain containing 4","Chchd4"
"1373016_at","dihydrolipoamide dehydrogenase","Dld"
"1373025_at","complement C1q C chain","C1qc"
"1373026_at","SPC24 component of NDC80 kinetochore complex","Spc24"
"1373036_at","IQ motif containing GTPase activating protein 2","Iqgap2"
"1373037_at","ubiquitin-conjugating enzyme E2L 6","Ube2l6"
"1373064_at","DnaJ heat shock protein family (Hsp40) member C15","Dnajc15"
"1373068_at","interferon-related developmental regulator 2","Ifrd2"
"1373085_at","carbonyl reductase 3","Cbr3"
"1373089_at","cadherin 3","Cdh3"
"1373094_at","general transcription factor IIH subunit 1","Gtf2h1"
"1373110_at","estrogen receptor 1","Esr1"
"1373124_at","SRC proto-oncogene, non-receptor tyrosine kinase","Src"
"1373128_at","reticulocalbin 3","Rcn3"
"1373129_at","phosphatidylinositol-5-phosphate 4-kinase type 2 beta","Pip4k2b"
"1373152_at","serine protease 23","Prss23"
"1373184_at","chondroitin sulfate N-acetylgalactosaminyltransferase 2","Csgalnact2"
"1373190_at","CCR4-NOT transcription complex, subunit 4","Cnot4"
"1373200_at","eukaryotic translation elongation factor 1 epsilon 1","Eef1e1"
"1373204_at","transmembrane protein 176A","Tmem176a"
"1373210_at","laminin subunit beta 1","Lamb1"
"1373222_at","hexosaminidase subunit alpha","Hexa"
"1373240_at","dehydrogenase/reductase 3","Dhrs3"
"1373242_at","TATA-box binding protein like 1","Tbpl1"
"1373245_at","collagen type IV alpha 1 chain","Col4a1"
"1373250_at","anillin, actin binding protein","Anln"
"1373270_at","WD repeat domain, phosphoinositide interacting 1","Wipi1"
"1373286_at","filamin binding LIM protein 1","Fblim1"
"1373290_at","enhancer of zeste 2 polycomb repressive complex 2 subunit","Ezh2"
"1373301_at","protein phosphatase 1, regulatory subunit 13B","Ppp1r13b"
"1373304_at","Coenzyme A synthase","Coasy"
"1373312_at","PNKD metallo-beta-lactamase domain containing","Pnkd"
"1373313_at","SEL1L adaptor subunit of SYVN1 ubiquitin ligase","Sel1l"
"1373315_at","aryl hydrocarbon receptor nuclear translocator 2","Arnt2"
"1373324_at","dual specificity phosphatase 14","Dusp14"
"1373333_at","adipocyte-related X-chromosome expressed sequence 2","Arxes2"
"1373347_at","acyl-CoA binding domain containing 3","Acbd3"
"1373350_at","PC4 and SRSF1 interacting protein 1","Psip1"
"1373369_at","zinc finger, MIZ-type containing 1","Zmiz1"
"1373373_at","glutamine fructose-6-phosphate transaminase 1","Gfpt1"
"1373374_at","LIM domain only 4","Lmo4"
"1373391_at","transmembrane and coiled-coil domains 1","Tmco1"
"1373393_at","exostosin glycosyltransferase 1","Ext1"
"1373401_at","tenascin C","Tnc"
"1373409_at","ubiquitin protein ligase E3C","Ube3c"
"1373410_at","myocyte enhancer factor 2C","Mef2c"
"1373417_at","phospholipid scramblase 3","Plscr3"
"1373421_at","TGFB-induced factor homeobox 1","Tgif1"
"1373425_at","CDC-like kinase 2","Clk2"
"1373426_at","mitogen activated protein kinase 1","Mapk1"
"1373429_at","activating transcription factor 6 beta","Atf6b"
"1373455_at","PAF1 homolog, Paf1/RNA polymerase II complex component","Paf1"
"1373458_at","brain expressed, X-linked 4","Bex4"
"1373462_at","embryonic ectoderm development","Eed"
"1373463_at","collagen type V alpha 2 chain","Col5a2"
"1373466_at","calpastatin","Cast"
"1373470_at","catenin beta 1","Ctnnb1"
"1373477_at","mitochondrial ribosomal protein L19","Mrpl19"
"1373490_at","glia maturation factor, gamma","Gmfg"
"1373495_at","ubiquitin-conjugating enzyme E2, J1","Ube2j1"
"1373499_at","growth arrest specific 5","Gas5"
"1373504_at","GLI pathogenesis-related 1","Glipr1"
"1373516_at","ribosomal RNA processing 1B","Rrp1b"
"1373517_at","component of inhibitor of nuclear factor kappa B kinase complex","Chuk"
"1373523_at","Fc gamma receptor 3A","Fcgr3a"
"1373538_at","ubiquitin specific peptidase 1","Usp1"
"1373549_at","DEAD-box helicase 10","Ddx10"
"1373557_at","minichromosome maintenance complex component 4","Mcm4"
"1373565_at","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","Smarca4"
"1373570_at","aminopeptidase-like 1","Npepl1"
